order	file	sha256	phase	action	dependency	note
1	20260212112606_149c91c9-f5a8-4b8f-909b-30eae260aa42.sql	6d52f13cc087c97af885969c80cb5d7d92bb176943c9d2e228003fe5554444c0	core_schema	INCLUDE_SECURITY_GATE	authenticated role	Creates pos_connections and update_updated_at_column; initial RLS is not tenant scoped.
2	20260212115654_1381e2e4-1563-455a-8913-fc76fb0cb12d.sql	1ed6ce59d43550320f0c7a660faf6578fe6514a910954f1d477fa55b9e6a637a	security_policy	INCLUDE_SECURITY_GATE	API role design	Replaces authenticated policies with USING true policies applicable to PUBLIC.
3	20260212123446_3eca070d-30eb-443a-a577-ea98bddfba60.sql	2690bf4b5c9ee1ade2caeebc3325c2053da7d224db301056d1d45bd128546574	core_schema	INCLUDE_SECURITY_GATE	pos_connections	Creates sales_events, sales_line_items and wine_family_rules with permissive RLS.
4	20260218200027_ed7f4ef4-5650-4fb3-a037-115e7ee24a39.sql	0de59a57553a35a82bf9ede75bd6c4503053d192803fb9b5824576694f2e4ded	core_schema	INCLUDE	pos_connections	Adds Winerim credential column; secret migration policy remains separate.
5	20260219141757_7d5b07ef-08ba-4723-964e-4bf23a639bfa.sql	cd2a3ea3186e8714ae7ac7a3844c52d5d8f0b2ee1eae8a000b6a74a9b1dac902	core_schema	INCLUDE_SECURITY_GATE	pos_connections update_updated_at_column	Creates provider_products and catalog columns with permissive RLS.
6	20260219151555_85026df6-b366-4d2c-b715-0ab76b2126d2.sql	785b6ee79cdd5900a4278c8dbe6d8468da1fe2c5d24bb726eda9ef159220d807	core_schema	INCLUDE_SECURITY_GATE	pos_connections provider_products update_updated_at_column	Creates classification_config with permissive RLS.
7	20260219153842_6c554538-6d71-45ca-a330-3b924736442d.sql	443ecb752a88170a267ee11fe0c917a7d0fda7ec000140deabe9d9487d5a333f	core_schema	INCLUDE_SECURITY_GATE	sales_events sales_line_items	Creates stock_sync_log; connection_id has no foreign key.
8	20260219154752_a3198ab9-9375-460d-a75a-d0778d335f48.sql	07e8dd9c64df100e32cd20045dca76b0d0341345a9470afc72e77f2a2f49fe24	core_schema	INCLUDE_SECURITY_GATE	pos_connections update_updated_at_column	Creates winerim_wines and product_mappings; connection_id has no foreign key in either table.
9	20260219155243_ca284565-865c-42f3-8732-222266a966ac.sql	3e53015a68ed3db71ded6d9d54163bb45dea21a7585556826f18d2a699421080	core_schema	INCLUDE_SECURITY_GATE	pos_connections provider_products update_updated_at_column	Creates provider_capabilities and outbound_tasks with permissive RLS.
10	20260221080107_61f2d067-09c2-496a-a530-2471161cdbc2.sql	a5af97f171e927660959a8f2f276c0f4aaf81eff80324bcc5434b8f9edaa9c90	core_schema	INCLUDE_SECURITY_GATE	pos_connections update_updated_at_column	Creates credentials and webhook dedupe tables; RLS remains permissive.
11	20260304121045_99319491-6f04-4dc0-8d32-2936ff2b447d.sql	cdf2cb745192bf3f6889967c063497aecc066ed8480db090a78fc7cc8dad75c6	core_schema	INCLUDE_SECURITY_GATE	pos_connections product_mappings update_updated_at_column	Creates Agora master cache and write configuration.
12	20260304121648_903ad496-cea1-42df-b2f4-a22f0ca79c82.sql	0b794c6d029ddd1dc2a2b06febc39f5ff8ec4b9ed45bb0ab3981ecff1246d581	core_schema	INCLUDE	pos_connections	Adds catalog push gates.
13	20260304123021_68610a56-cb93-4aad-88f3-f38ee3d7ba5c.sql	6abfd8bf653937dd056c3311810490d0b8eb1a24a35450063babe7f37071a23c	core_schema	INCLUDE	pos_connections	Adds verified-ready gate.
14	20260304130439_323d452d-0ae7-4e5c-a7df-f477afcd308c.sql	8d06da7fff794493c33def524001ddd52fe91783f502a5dae764b2204dda2020	core_schema	INCLUDE	winerim_wines pos_connections	Adds normalized price, format and active fields.
15	20260305053803_940c32f9-e4fa-40dc-a231-2c95a4010f67.sql	5ea33da727d7dd8d78b2fd479d16013ec1f91ddb1f853112e2ba2a56be1f12a6	core_schema	INCLUDE	winerim_wines	Adds pricing status fields.
16	20260305055019_a73dafe4-1cd6-419b-b3c0-cd03e026f1fc.sql	ddb94a9d794ff55506c6181e7538602ba3a4cefb91b29cc16c4dbf23c2f44a58	core_schema	INCLUDE_SECURITY_GATE	pos_connections	Creates wine_type_family_mappings with permissive RLS.
17	20260306105015_4a079877-f504-423b-a1ec-e40b0c9ef4ea.sql	96cd603935385c6a032d5a64abe16e874d2c9bd94ccdec0a71fde8deaab9d989	core_schema	INCLUDE	agora_master_data	Adds sale point and center cache.
18	20260308083719_56668a96-5ad5-44da-912e-b946c9ac482b.sql	7a347c90447ef5322261de54af15590404837b0e5df0c0dddacc3513a0284eae	core_schema	INCLUDE	pos_connections	Adds selected sale centers.
19	20260308170700_67e3edb3-d60a-40b5-acdf-c3fc00cce8f4.sql	4c36632aac2879040fd10ee420116aa7216ddf544fdbeba82630ac34e654bb1b	core_schema	INCLUDE	pos_connections	Adds provider_config JSON.
20	20260308173356_6f367ab5-7a98-4f25-9bae-845b6ea01af4.sql	9570d56943177d2ed6f81092a539103724e4b2650a4db2a8977d3c60e7c76657	core_schema	INCLUDE_WITH_REVIEW	sales_events sales_line_items	Adds a redundant event unique and a line unique later removed by migration 31.
21	20260308173922_531411d1-222e-46e4-9136-a649b98812c6.sql	0189f16768cd459c10738f2c1c787ec54e28c6e9789582cb7276394be5dc8e3d	core_schema	INCLUDE_WITH_REVIEW	provider_products	Adds a second unique constraint equivalent to the inline unique.
22	20260308181331_3b49f6c3-6f0d-4904-8690-43d4e8a1af97.sql	f6facd79a029ca5c999950a226ff5759a64ce14aa3e31fd8fecd6acb8a8ebdb8	platform_storage	CONDITIONAL_PLATFORM	storage schema and storage.objects RLS	Creates the hiopos-imports bucket; cannot run on plain Postgres.
23	20260308205424_206ebbb9-c23a-4bcd-90c6-7131fdd4602c.sql	54b871f2bd667ea98fad6169a63d662b12cc1cd142eb2086aed39dd2ef77aa77	core_schema	INCLUDE	provider_capabilities	Adds webhook and readiness fields.
24	20260309052406_d7d86fa3-6f49-4c91-8282-2cf58fbb311e.sql	4550b08911fedb02a0bf9007f4feb6f9bf4145d7d1a9b5fd4c5b6c9b19042cc8	core_schema_data_transform	INCLUDE_WITH_REVIEW	provider_credentials pos_connections	Adds Toast columns and conditionally backfills existing rows.
25	20260309065410_716b19db-8071-4151-85fd-2348eb03ddf9.sql	3046f6fce0e23f63bdf45487c273367ed7317996cae9217a6cd4fd88049f8c4b	core_schema_data_transform	INCLUDE_WITH_REVIEW	pos_connections	Adds restaurant_guid and conditionally backfills it.
26	20260318133702_2f565575-3b53-4cbb-abf4-0c53a440ada6.sql	f0f952330cc1437caa2b15e9baf0ff323ab816a2ef6d6aa2146c746538274a50	core_schema	INCLUDE_SECURITY_GATE	pos_connections	Creates Winerim push tracking with policies granted to PUBLIC.
27	20260326032626_cdd156d4-e0e6-45f7-937d-7831a8dbde2c.sql	884e4e97a97cadaff25450a2ca375942c761d45b2c44eebc87f9f7714d1504c4	operational_repair	EXCLUDE_OPERATIONAL	production connection row	Requeues failed Sa Vida tasks and must never be part of empty staging bootstrap.
28	20260408092820_0c2e94fe-2a91-4583-8195-d1dbe0a36ccd.sql	af429baa3cfad5f05bd0a9362c2235041d2b1e3bb0cd7ef048f78a9ef2ad4398	legacy_platform	EXCLUDE_CLOUDFLARE_TARGET	pg_net extension	Not portable to generic managed Postgres and replaced by Worker HTTP calls.
29	20260408092850_23cf02d9-cda2-4601-a3ed-2d3286ec1e48.sql	655a92eeed6a3bd50cd1dea57e91c5cafc1bfbc62eaebbbd9facc69436a078b0	legacy_runtime	EXCLUDE_CLOUDFLARE_TARGET	pg_net and service key argument	Database function performs HTTP recursion and accepts a secret as SQL input.
30	20260408142952_407b380b-de9e-468e-81b1-5486825a2234.sql	9a9a54bf24f5e22c857190c30d665a0b9361e9ebb16efb02b559ea414263d002	client_config	EXCLUDE_OPERATIONAL	all Agora connection rows	Changes live push policy globally and is not schema bootstrap.
31	20260415100237_c0568cc5-daea-48bf-bb33-259e9c1d2629.sql	18c7bc280b8a7ca352253790db0d6fb3ac14df250f8257b2a3b879f7d0ca37d3	core_schema	INCLUDE	sales_line_items	Removes the transient per-product line unique constraint.
32	20260415100819_c86fe396-2873-4897-bced-b1684e608199.sql	75697e985f949890c845ab39dd93bd52f1ad3cf64863bf88812af0743c732d1c	operational_repair	EXCLUDE_OPERATIONAL	production sales and cursors	Deletes malformed sales and rewinds every Agora cursor.
33	20260415100930_a88ad1a3-57f5-4217-9783-43c1498c97e8.sql	8da49f482fc15380acfa1404d3344112b806265441561a866ffd438c8d8e3bf4	client_config	EXCLUDE_OPERATIONAL	Kava row	Sets a historical production cursor.
34	20260415100950_33f3a56c-8e37-4a74-90ee-b187d6a9fbf7.sql	6e55328ff946c454c2259c3d266e57711185c0f2263b1dfc248bbaa5afd8a329	client_config	EXCLUDE_OPERATIONAL	Sa Pedrera and Sa Vida rows	Sets historical production cursors.
