order	file	sha256	phase	action	dependency	reason
1	20260625044943_connection_health_monitor.sql	6e7a087eb337e6bad92c23abca2bb78ee92ab12723022122ac847f832da150c5	control_plane_schema_mixed	SPLIT_PORTABLE_SCHEMA	pos_connections update_updated_at_column anon authenticated service_role pg_net	Extract connection_health_checks and connection_alerts only; omit the legacy contact-table definition and pg_net HTTP helper because the former conflicts with the later backend-only contact schema and the latter belongs in the Worker runtime.
2	20260625071127_29af3b55-ae05-4175-a786-5d0b54aa740e.sql	13543349a6098a5f38e9742a7b3fc13f6b96178f941599b14d8ef31f98a4ec5c	migration_history_noop	EXCLUDE_NOOP	20260625044943_connection_health_monitor.sql	Remote migration-id placeholder containing only SELECT 1; it creates no portable object.
3	20260625072756_secure_connection_health_monitor_cron.sql	a9c81541b48437cc640c40813862060af2760c86883116ce3b79593b587639a6	legacy_platform_runtime	EXCLUDE_CLOUDFLARE_TARGET	pg_net service_role external function URL bearer key monitor secret	Creates a pg_net HTTP helper; scheduling and outbound HTTP are owned by Cloudflare and secrets must not be passed through SQL function arguments.
4	20260625073417_a9f5092e-e4f6-49fa-a9ee-1f7fbe353f8d.sql	acaebe550c246a34b0fad3c18fad0033eef4809e1e232d963eacf266cf6323b2	migration_history_noop	EXCLUDE_NOOP	20260625072756_secure_connection_health_monitor_cron.sql	Remote migration-id placeholder containing only SELECT 1; it creates no portable object.
5	20260713073627_add_agora_provider_sold_at_to_sales_lines.sql	3545354ddc71a23671286446c30c16dc860da92678008a08e6077fad79fb822b	core_schema	INCLUDE	sales_line_items	Canonical addition of provider_sold_at and provider_sold_at_source plus the partial connection/time index.
6	20260713110809_c7a17c71-be45-4265-a5c9-182005e19599.sql	85291b08ab331bfd1f47763081548bd45fb08307e591ff014cc3847dc47dfc58	duplicate_schema	EXCLUDE_DUPLICATE	20260713073627_add_agora_provider_sold_at_to_sales_lines.sql	Byte-equivalent SQL apart from the final newline; replaying it adds no schema beyond the canonical migration.
7	20260714143100_ed348caa-2bef-4cf3-8de9-919f99832484.sql	cb11978ef0c5daecfdb58680d3f87ab338098326e6319ca65f5ad423075b46ad	operational_repair	EXCLUDE_OPERATIONAL	three production outbound_tasks UUIDs	Requeues three named production tasks and resets attempts/errors; it is data repair, never empty-database bootstrap.
8	20260715044848_e842e48a-a0f4-43a3-a52e-f77b556fd460.sql	7577a91d49cca71a2e893f396be8f83bf8c052bb352008ce96b718fa28ad0eeb	data_reconciliation	POST_IMPORT_REVIEW	sales_events imported production data	Classifies existing Agora refunds and rewrites their provider_doc_id namespace; run once only after an imported-data diff and backup.
9	20260715090000_agora_refund_sales_guard.sql	df8f25216bb85b5c96638f55accdebef98ee76f6bbf820b5fe49155bcbb8c0f7	duplicate_data_reconciliation	EXCLUDE_DUPLICATE	20260715044848_e842e48a-a0f4-43a3-a52e-f77b556fd460.sql	Same refund reconciliation SQL apart from the final newline; the canonical post-import operation already represents it.
10	20260716073810_7228e9d1-4322-4852-8f43-6181cf8ab9d5.sql	79be1af5ba32fe5bebcefc8a14e386a5a02cde13e8b37e47858e3e6cd6be7c19	core_schema_function	INCLUDE_SECURITY_GATE	pos_connections service_role runtime transaction contract	Creates agora_dispatch_locks and its acquire/release functions; the independent runtime role and RLS/grants must replace the managed-platform service_role assumption.
11	20260716074136_2e472ece-158f-4c6b-a46c-806487c539ba.sql	44fd94e33dc8735d783491704c830da59bbb77b67b10b325e0c05e18b48a6fbf	core_function_fix	INCLUDE_SECURITY_GATE	20260716073810_7228e9d1-4322-4852-8f43-6181cf8ab9d5.sql	Makes acquire_agora_dispatch_lock return false rather than NULL when the lock is not acquired; preserve this final function body.
12	20260716110655_preserve_stock_sync_log_on_sales_line_refresh.sql	cdb41d71666cd429224f605b55f602fbd212d71720d40607ac7f768ba3dc9056	core_schema_constraint	INCLUDE	stock_sync_log sales_line_items	Canonical change of stock_sync_log.sales_line_item_id to ON DELETE SET NULL so durable idempotency evidence survives refreshed source lines.
13	20260716122252_a02d0c1d-077e-4365-b2a8-f3929a44f259.sql	1da815220c645a51be1bfb86d6db955a78ea0b7d684ca47a69c74dcc409e1401	duplicate_schema	EXCLUDE_DUPLICATE	20260716110655_preserve_stock_sync_log_on_sales_line_refresh.sql	Same FK replacement and comment apart from explanatory comments/final newline; the canonical migration already represents it.
